Surface Water,NWRA/21,Naming'omba Tea Estate,Thyolo,T. H Chakukuma,992670234,N/A,"P/B 2 , Thyolo",Naming'omba Tea Estate,N/A,N/A,Thyolo,SL29/1985,5,N/A,N/A,,NWRA, 23.00 ,Kwakwasi River,Irrigation," 10,000.00 "," 200,000.00 ",no,yes,yes,0,0,0,0,0,0,0
Surface Water,NWRA/21,Naming'omba Tea Estate,Thyolo,T. H Chakukuma,992670235,N/A,"P/B 2 , Thyolo",Naming'omba Tea Estate,N/A,N/A,Thyolo,SL549/1974,5,N/A,N/A,320263,NWRA, 182.00 ,Kwakwasi River,Irrigation," 10,000.00 "," 200,000.00 ",no,yes,yes,0,0,0,0,0,0,0
Surface Water,NWRA/25,SmallHolder Tea Authority,Smallholder ,The General Manager,N/A,N/A,"SmallHolder Tea Authority, PO Box 135, Mulanje",Smallholder ,0770243,8224900,Mulanje,BH Nusery ( Hand pump),5,N/A,N/A,,NWRA, 5.00 ,BH Nusery ( Hand pump),Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/25,SmallHolder Tea Authority,Smallholder ,The General Manager,N/A,N/A,"SmallHolder Tea Authority, PO Box 135, Mulanje",Smallholder ,0769829,8225326,Mulanje,Factory Pump (Submersible Pump),5,N/A,N/A,,NWRA, 10.00 ,Factory Pump (Submersible Pump),Factory," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/25,SmallHolder Tea Authority,Smallholder ,The General Manager,N/A,N/A,"SmallHolder Tea Authority, PO Box 135, Mulanje",Smallholder ,0772016,8226874,Mulanje,Mlodza Intake(Gravity fed),5,N/A,N/A,,NWRA, 10.00 ,Mlodza Intake(Gravity fed),Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/25,SmallHolder Tea Authority,Chitakale ,The General Manager,N/A,N/A,"SmallHolder Tea Authority, PO Box 135, Mulanje",Chitakale ,0764297,8229412,Mulanje,4B ( Gravity fed from monutain),5,N/A,N/A,,NWRA, 10.00 ,4B ( Gravity fed from monutain),Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/25,SmallHolder Tea Authority,Chitakale ,The General Manager,N/A,N/A,"SmallHolder Tea Authority, PO Box 135, Mulanje",Chitakale ,0768288,8229055,Mulanje,Guest House (Gravity fed) Chitakale Stream ,5,N/A,N/A,,NWRA, 20.00 ,Guest House (Gravity fed) Chitakale Stream ,Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/25,SmallHolder Tea Authority,Chitakale ,The General Manager,N/A,N/A,"SmallHolder Tea Authority, PO Box 135, Mulanje",Chitakale ,0768691,8227866,Mulanje,Compound 5 (Gravity fed ) Chitakale Stream,5,N/A,N/A,,NWRA, 20.00 ,Compound 5 (Gravity fed ) Chitakale Stream,Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/26,J. Tennett & Sons LTD,Luchenza,N/A,N/A,N/A,"PO Box 8, Luchenza",Mulanje,N/A,N/A,Mulanje,N/A,5,N/A,N/A,,, 3.70 ,N/A,N/A," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/38 A,Chipunga Farm,P/A Chikwinda,E.D. Mwasi,,,"PO Box 82, Mzuzu",P/A Chikwinda,,,Mzuzu,SL269/1997,5,N/A,N/A,A697046,NWRA, 5.60 ,Tributory of Klonga,Domestic," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/42,Chirambe Estate,"Block 3 of Chirambe Estate, Bvumbwe",C.G. Whitehead ,,,"PO Box 5558, Limbe","Block 3 of Chirambe Estate, Bvumbwe",N/A,N/A,Thyolo,N/A,N/A,N/A,N/A,N/A,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/43,Crozier & WrightLtd,"Kilbirniue Tea Estate, Cholo",Cancelled,Cancelled,Cancelled,"PO Box 5, Luchenza","Kilbirniue Tea Estate, Cholo",Cancelled,Cancelled,Mulanje,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled,NWRA, Cancelled ,Cancelled,Cancelled, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/47,Satemwa Tea Estates ltd,N/A,N/A,N/A,N/A,"P.O. Box 6, Thyolo",Chizinja,719596,8221637,Thyolo,SL 497/1973,5,10/8/2028,11/8/2023,N/A,NWRA," 6,000.00 ",Tributary of Malanda river,Industrial, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/50,Malawi Railways Limited,Chirumba Port ,N/A,N/A,N/A,"PO Box 5144, Limbe",Chirumba Port ,N/A,N/A,,SL704/1976,5,N/A,N/A,,NWRA, 11.30 ,Lake Malawi,N/A," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/50,Malawi Railways Limited,Monkeybay Dockyard ,N/A,N/A,N/A,"PO Box 5144, Limbe",Monkeybay Dockyard ,N/A,N/A,,,5,N/A,N/A,,NWRA, 151.40 ,Lake Malawi,N/A," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,WRA/51G,Geological Survey Department,NA,NA,NA,NA,"Box 27, Zomba",NA,N/A,N/A,Zomba,SL33/1988,5,20/09/1998,20/09/1988,NA,NWRA, 5.00 ,Linthipe,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,,"Geological Survey Department, Zomba ",Bangula,The Chief Geologist,N/A,N/A,"PO Box 27, Zomba",Bangula,N/A,N/A,Nsanje,,5,N/A,N/A,246664,NWRA, 5.00 ,,,,,,,,,,,,,,
Surface Water,NWRA/51,Blantyre ADD,Blantyre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,WRA/52,"See Individual files for Hara,Wovwe and Lufira",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/56,Diocese of Mzuzu,Diocese of Mzuzu,N/A,N/A,N/A,"P/B 2, Mzuzu",Diocese of Mzuzu,,,Mzuzu,SL237/1976,7,N/A,N/A,75330,NWRA," 2000, 20,000 ",Tributary of Katoto,"Domestic, Power"," 176,660.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,WRA/55,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL123/1970,5,31/03/1980,31/03/1970,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL432/1970,5,31/03/1980,31/03/1970,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL455/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL456/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL458/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL459/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL460/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL461/1973(A),5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL461/1973(B),5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL463/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL462/1973(A),5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL462/1973(A),5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL462/1973(B),5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL433/1971,5,31/03/1981,31/03/1971,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL434/1971,5,31/03/1981,31/03/1971,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL1654/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL1653/1971,5,31/03/1981,31/03/1971,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL1657/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL1659/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL1660/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL1661/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL1662/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL1670/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL1673/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL1672/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL1703/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL2267/1973,5,31/03/1983,31/03/1973,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL2268/1982,5,31/03/1992,31/03/1982,NA,NWRA, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/56,Veterinary Department,NA,NA,NA,NA,"Box 2096, Lilongwe","Chief Veterinary,Lilongwe",NA,NA,Lilongwe,SL10/1982,5,N/A,N/A,,, NA ,NA,NA," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,NWRA/57,Illovo Nchalo Estate,Limbe,N/A,N/A,N/A,"P/Bag 50, Blantyre",Nchalo Estate,,,Chikwawa,SL3/2002,5,N/A,N/A,121899,NWRA," 432,000.00 ",Mwanza River,Irrigation," 4,162,752.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/57,Illovo Nchalo Estate,Limbe,N/A,N/A,N/A,"P/Bag 50, Blantyre",Nchalo Estate,,,Chikwawa,SL3/2008,5,N/A,N/A,8192155,NWRA," 483,840.00 ",Shire River,Irrigation," 5,143,426.99 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/57,Illovo Nchalo Estate,Limbe,N/A,N/A,N/A,"P/Bag 50, Blantyre",Nchalo Estate,,,Chikwawa,SL393/1973,5,N/A,N/A,53004,NWRA," 159,667.00 ",Shire River,Irrigation/Domestic," 1,716,072.83 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/57,Illovo Nchalo Estate,Limbe,N/A,N/A,N/A,"P/Bag 50, Blantyre",Nchalo Estate,,,Chikwawa,SL4/2008,5,N/A,N/A,8192155,NWRA," 89,856.00 ",Shire River,Irrigation/Domestic," 1,046,238.34 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/57,Illovo Nchalo Estate,Limbe,N/A,N/A,N/A,"P/Bag 50, Blantyre",Nchalo Estate,,,Chikwawa,SL656/1976,5,N/A,N/A,59098,NWRA," 1,156,464.00 ",Shire River,"Irrigation, Domestic & Industrial"," 18,901,384.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/57,Illovo Nchalo Estate,Limbe,N/A,N/A,N/A,"P/Bag 50, Blantyre",Nchalo Estate,,,Chikwawa,SL3/2008,5,N/A,N/A,53004,NWRA," 665,280.00 ",Shire River,Irrigation," 9,670,625.36 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/57,Illovo Nchalo Estate,Limbe,N/A,N/A,N/A,"P/Bag 50, Blantyre",Nchalo Estate,,,Chikwawa,SL3/2002,5,N/A,N/A,,NWRA," 432,000.00 ",Mwanza River,Irrigation," 4,596,372.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/65,Chilimudongo Estate Ltd,N/A,N/A,N/A,N/A,"Box26, Mzuzu",N/A,N/A,N/A,,,,N/A,N/A,,,,,,,,,,,,,,,,,
Surface Water,WRA/68,Chizumuli Dispensary,St Peter Hospital,NA,NA,NA,NA,NA,NA,NA,Nkhotakota,SL309/1977,5,N/A,N/A,NA,NWRA," 3,100.00 ",Lake Malawi,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,NWRA/68,Diocese of Southern Malawi,"St. Peters Hospital, Likoma",N/A,N/A,N/A,PO Chilema,"St. Peters Hospital, Likoma",,,Likoma,SL309/1971,5,N/A,N/A,896660,NWRA, N/A ,Lake Malawi,Domestic,,,,,,,,,,,,
Surface Water,NWRA/68,Diocese of Southern Malawi,Matopi Mission,N/A,N/A,N/A,"C/O PO Box 326, Blantyre",Matopi Mission,,,Blantyre,SL310/1971,5,N/A,N/A,093017,NWRA, N/A ,Shire River,,,,,,,,,,,,,
Surface Water,NWRA/70,Evangelical Lutheran Development Services,"Mandilade Village, S.T.A Ndakwela",Peter Andrew Chapola,N/A,N/A,"P/Bag 25, Lilongwe ","Mandilade Village, S.T.A Ndakwela",,,Chikwawa,,,N/A,N/A,,, N/A ,,Domestic,,,,,,,,,,,,
Surface Water,NWRA/70,Evangelical Lutheran Development Services,"Mzamva Village, T/A Ngabu",N/A,N/A,N/A,N/A,"Mzamva Village, T/A Ngabu",,,Chikwawa,,,N/A,N/A,,, N/A ,,Domestic & Gardening,,,,,,,,,,,,
Surface Water,NWRA/70,Evangelical Lutheran Development Services,"Mlowoka Village, S.T.A Masache",N/A,N/A,N/A,N/A,"Mlowoka Village, S.T.A Masache",,,Chikwawa,,,N/A,N/A,,, N/A ,,Domestic,,,,,,,,,,,,
Surface Water,NWRA/70,Evangelical Lutheran Development Services,"Khungubwe Village, T/A Ngowe",N/A,N/A,N/A,N/A,"Khungubwe Village, T/A Ngowe",,,Chikwawa,,,N/A,N/A,,, N/A ,,Domestic,,,,,,,,,,,,
Surface Water,NWRA/70,Evangelical Lutheran Development Services,"Khukhumba Village, T/A Ngowe",N/A,N/A,N/A,N/A,"Khukhumba Village, T/A Ngowe",,,Chikwawa,,,N/A,N/A,,, N/A ,,Domestic,,,,,,,,,,,,
Surface Water,NWRA/70,Evangelical Lutheran Development Services,"Chilandile Village, S.T.A. Ndakwela",N/A,N/A,N/A,N/A,"Chilandile Village, S.T.A. Ndakwela",,,Chikwawa,,,N/A,N/A,,, N/A ,,Domestic,,,,,,,,,,,,
Surface Water,NWRA/70,Evangelical Lutheran Development Services,"Jani Village, S.T.A. Masache",N/A,N/A,N/A,N/A,"Jani Village, S.T.A. Masache",,,Chikwawa,,,N/A,N/A,,, N/A ,,Domestic,,,,,,,,,,,,
Surface Water,NWRA/70,Evangelical Lutheran Development Services,"Chidakayenda Village, T/A Katunga",Chapola,09312759,N/A,N/A,"Chidakayenda Village, T/A Katunga",,,Chikwawa,,,N/A,N/A,,, N/A ,,Domestic,,,,,,,,,,,,
Surface Water,NWRA/70A,Chimpeni Estate,,Mr. G.C. Thoneycraft,N/A,N/A,"P/Bag 1, Zomba",,,,Zomba,SL29/1975,5,N/A,N/A,,NWRA, 23.20 ,Matawale River,Domestic & Irrigation," 20,000.00 "," 200,000.00 ",No,No,No,No,No,No,,,,
Surface Water,NWRA/70A,Chimpeni Estate,,Mr. G.C. Thoneycraft,N/A,N/A,"P/Bag 1, Zomba",,,,Zomba,SL30/1976,5,N/A,N/A,,NWRA, 750.00 ,Matawale River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,,,,
Surface Water,NWRA/70A,Chimpeni Estate,,Mr. G.C. Thoneycraft,N/A,N/A,"P/Bag 1, Zomba",,,,Zomba,SL465/1973,5,N/A,N/A,,NWRA, 2.00 ,Matawale Dam,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,,,,
Surface Water,NWRA/70A,Chimpeni Estate,,Mr. G.C. Thoneycraft,N/A,N/A,"P/Bag 1, Zomba",,,,Zomba,SL395/1978,5,N/A,N/A,,NWRA, N/A ,Naisi River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,,,,
Surface Water,NWRA/70A,Chimpeni Estate,,Mr. G.C. Thoneycraft,N/A,N/A,"P/Bag 1, Zomba",,,,Zomba,SL6/1988,5,N/A,N/A,,NWRA, N/A ,Matawale River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,,,,
Surface Water,NWRA/70A,Chimpeni Estate,,Mr. G.C. Thoneycraft,N/A,N/A,"P/Bag 1, Zomba",,,,Zomba,SL6/1992,5,N/A,N/A,,NWRA, 110.00 ,Weir on Naisi River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,,,,
Surface Water,NWRA/70A,Chimpeni Estate,,Mr. G.C. Thoneycraft,N/A,N/A,"P/Bag 1, Zomba",,,,,,5,N/A,N/A,,NWRA, 0.91 ,,Irrigation," 10,000.00 ",,No,No,No,No,No,No,,,,
Surface Water,NWRA/70A,Chimpeni Estate,,Mr. G.C. Thoneycraft,N/A,N/A,"P/Bag 1, Zomba",,,,,,5,N/A,N/A,,NWRA, 2.33 ,,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,,,,
Surface Water,NWRA/70A,Chimpeni Estate,,Mr. G.C. Thoneycraft,N/A,N/A,"P/Bag 1, Zomba",,,,,,5,N/A,N/A,,NWRA, 0.90 ,,," 10,000.00 ",,No,No,No,No,No,No,,,,
Surface Water,WRA/73,United Church Lay Training Centre,Chilema,NA,NA,NA,NA,Kasule,NA,NA,Zomba,SL156/1971,5,N/A,N/A,NA,NWRA," 5,500.00 ",Chilema Stream,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,NWRA/74,Mbabzi Estate,Barron Estate,Managing Director,,,"PO Box 50, Lilongwe ","Mbabzi, Lilongwe",,,Lilongwe,SL106/1970,5,N/A,N/A,,NWRA, N/A ,,,," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/74,Mbabzi Estate,Barron Estate,Managing Director,,,"PO Box 50, Lilongwe ","Mbabzi, Lilongwe",,,Lilongwe,SL107/1970,5,N/A,N/A,,NWRA, N/A ,,,," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/74,Mbabzi Estate,Barron Estate,Managing Director,,,"PO Box 50, Lilongwe ","Mbabzi, Lilongwe",,,Lilongwe,SL109/1970,5,N/A,N/A,,NWRA, N/A ,,,," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/74,Mbabzi Estate,Barron Estate,Managing Director,,,"PO Box 50, Lilongwe ","Mbabzi, Lilongwe",,,Lilongwe,SL466/1973,5,N/A,N/A,,NWRA, N/A ,,,," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/74,Mbabzi Estate,Salima Cottage,N/A,N/A,N/A,"P/B 50, Lilongwe",Salima Cottage,673995,8480040,Salima,SL4/2011,5,N/A,N/A,,NWRA, 5.00 ,Lake Malawi,Domestic," 10,000.00 "," 290,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/74,Mbabzi Estate,Barron Estate,Managing Director,,,"PO Box 50, Lilongwe ","Mbabzi, Lilongwe",,,Lilongwe,SL467/1973,5,N/A,N/A,,NWRA, N/A ,N/A,N/A, N/A ," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/74,Mbabzi Estate,Barron Estate,Managing Director,,,"PO Box 50, Lilongwe ","Mbabzi, Lilongwe",,,Lilongwe,SL468/1973,5,N/A,N/A,,NWRA, N/A ,N/A,N/A, N/A ," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/74,Mbabzi Estate,Barron Estate,Managing Director,,,"PO Box 50, Lilongwe ","Mbabzi, Lilongwe",,,Lilongwe,SL506/1973,5,N/A,N/A,,NWRA, N/A ,N/A,N/A, N/A ," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/74,Mbabzi Estate,Barron Estate,Managing Director,,,"PO Box 50, Lilongwe ","Mbabzi, Lilongwe",,,Lilongwe,SL4/2011,5,N/A,N/A,,NWRA, N/A ,N/A,N/A, N/A ," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/74,Mbabzi Estate,Barron Estate,Managing Director,,,"PO Box 50, Lilongwe ","Mbabzi, Lilongwe",,,Lilongwe,SL104/2012,5,N/A,N/A,,NWRA, N/A ,N/A,N/A, N/A ," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/75,SPEARHEAD ENTERPRISE,,,,,"PO Box 2133, Blantyre",,,,,,,N/A,N/A,,, 10.00 ,,Industrial," 10,000.00 ",,,,,,,,,,,
Surface Water,WRA/75,Chikumbutso Estate(NEED TO BE INSPECTED,NA,N/A,N/A,N/A,"Box 43, Mchinji",NA,NA,NA,Mchinji,NA,NA,30/03/1988,31/03/1978,NA,NWRA, N/A ,N/A,N/A, N/A , N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
